nohup: ignoring input
Epoch~103->train_loss:1.0893, val_loss:1.1164, val_accu:0.2, lr:0.10220552980899811, conflict:19/103=0.1845
Epoch~104->train_loss:1.0891, val_loss:1.1163, val_accu:0.2, lr:0.10221665352582932, conflict:19/104=0.1827
Epoch~105->train_loss:1.089, val_loss:1.1162, val_accu:0.2, lr:0.10222797095775604, conflict:19/105=0.181
Epoch~106->train_loss:1.0889, val_loss:1.1161, val_accu:0.2, lr:0.10223948955535889, conflict:19/106=0.1792
Epoch~107->train_loss:1.0888, val_loss:1.116, val_accu:0.2, lr:0.10225120931863785, conflict:20/107=0.1869
Epoch~108->train_loss:1.0887, val_loss:1.1159, val_accu:0.2, lr:0.10226313769817352, conflict:20/108=0.1852
Epoch~109->train_loss:1.0885, val_loss:1.1157, val_accu:0.2, lr:0.10227528214454651, conflict:20/109=0.1835
Epoch~110->train_loss:1.0884, val_loss:1.1156, val_accu:0.2, lr:0.1022876426577568, conflict:21/110=0.1909
Epoch~111->train_loss:1.0883, val_loss:1.1155, val_accu:0.2, lr:0.10230022668838501, conflict:21/111=0.1892
Epoch~112->train_loss:1.0882, val_loss:1.1154, val_accu:0.2, lr:0.10231304168701172, conflict:21/112=0.1875
Epoch~113->train_loss:1.088, val_loss:1.1152, val_accu:0.2, lr:0.10232609510421753, conflict:21/113=0.1858
Epoch~114->train_loss:1.0879, val_loss:1.1151, val_accu:0.2, lr:0.10233938694000244, conflict:21/114=0.1842
Epoch~115->train_loss:1.0877, val_loss:1.115, val_accu:0.2, lr:0.10235293209552765, conflict:22/115=0.1913
Epoch~116->train_loss:1.0876, val_loss:1.1149, val_accu:0.2, lr:0.10236673057079315, conflict:22/116=0.1897
Epoch~117->train_loss:1.0875, val_loss:1.1147, val_accu:0.2, lr:0.10238079726696014, conflict:22/117=0.188
Epoch~118->train_loss:1.0873, val_loss:1.1146, val_accu:0.2, lr:0.10239513218402863, conflict:22/118=0.1864
Epoch~119->train_loss:1.0872, val_loss:1.1145, val_accu:0.2, lr:0.10240975022315979, conflict:23/119=0.1933
Epoch~120->train_loss:1.087, val_loss:1.1143, val_accu:0.2, lr:0.10242465883493423, conflict:23/120=0.1917
Epoch~121->train_loss:1.0869, val_loss:1.1142, val_accu:0.2, lr:0.10243986546993256, conflict:23/121=0.1901
Epoch~122->train_loss:1.0867, val_loss:1.114, val_accu:0.2, lr:0.10245537757873535, conflict:23/122=0.1885
Epoch~123->train_loss:1.0865, val_loss:1.1139, val_accu:0.2, lr:0.10247120261192322, conflict:23/123=0.187
Epoch~124->train_loss:1.0864, val_loss:1.1137, val_accu:0.2, lr:0.10248734802007675, conflict:23/124=0.1855
Epoch~125->train_loss:1.0862, val_loss:1.1135, val_accu:0.2, lr:0.10250382870435715, conflict:24/125=0.192
Epoch~126->train_loss:1.086, val_loss:1.1134, val_accu:0.2, lr:0.102520652115345, conflict:24/126=0.1905
Epoch~127->train_loss:1.0859, val_loss:1.1132, val_accu:0.2, lr:0.10253783315420151, conflict:25/127=0.1969
Epoch~128->train_loss:1.0857, val_loss:1.113, val_accu:0.2, lr:0.10255537927150726, conflict:25/128=0.1953
Epoch~129->train_loss:1.0855, val_loss:1.1129, val_accu:0.2, lr:0.10257330536842346, conflict:25/129=0.1938
Epoch~130->train_loss:1.0853, val_loss:1.1127, val_accu:0.2, lr:0.1025916188955307, conflict:25/130=0.1923
Epoch~131->train_loss:1.0851, val_loss:1.1125, val_accu:0.2, lr:0.10261033475399017, conflict:26/131=0.1985
Epoch~132->train_loss:1.0849, val_loss:1.1123, val_accu:0.2, lr:0.10262946784496307, conflict:26/132=0.197
Epoch~133->train_loss:1.0847, val_loss:1.1121, val_accu:0.2, lr:0.1026490181684494, conflict:27/133=0.203
Epoch~134->train_loss:1.0845, val_loss:1.1119, val_accu:0.2, lr:0.10266900062561035, conflict:27/134=0.2015
Epoch~135->train_loss:1.0843, val_loss:1.1117, val_accu:0.2, lr:0.10268943756818771, conflict:28/135=0.2074
Epoch~136->train_loss:1.0841, val_loss:1.1115, val_accu:0.2, lr:0.10271034389734268, conflict:28/136=0.2059
Epoch~137->train_loss:1.0839, val_loss:1.1113, val_accu:0.2, lr:0.10273171961307526, conflict:28/137=0.2044
Epoch~138->train_loss:1.0837, val_loss:1.1111, val_accu:0.2, lr:0.10275357961654663, conflict:28/138=0.2029
